predictor,loso_auc,sem,n_subjects
CLIP embed,0.46860203446209514,0.04425541013871847,16
CLIP ln_post,0.46935324244946897,0.044861542750172664,16
ResNet-50 avgpool,0.49010693964933216,0.04897579698741987,16
DINOv2 norm,0.4863086168784032,0.03480611673421029,16
AlexNet conv1,0.49177875589729014,0.053670481989905545,16
category one-hot,0.4393035573457301,0.0454284681486187,16
low-level stats,0.47019484177449833,0.04600418133216968,16
"faces (found, n, area)",0.4531178496685102,0.04275734321038402,16
reuse (LOSO other-subject rate),0.4499867919583391,0.03937724322828096,16
concept-cell reuse (other subjects),0.4572101714598122,0.038951302896577056,16
