task,area,attribute,n_cells,mean_pref,mean_shown,auc,p,q
screening,MTL,famous,134,0.5793898023880597,0.522455040069317,0.5652167298066244,0.014212638844714761,0.04737546281571587
screening,MTL,face_visible,134,0.7618940408880598,0.7209972072609583,0.5514096185737977,0.05326938455214174,0.10653876910428348
screening,MTL,child,134,0.10441364029850747,0.11249287629092762,0.5182953732864728,0.4916307071208301,0.5462563412453668
screening,MTL,smiling,134,0.30448070769402985,0.3564373456305811,0.4480046251920824,0.05061215442259483,0.10653876910428348
screening,MTL,emotional,134,0.423164636,0.3988736555351682,0.5294095272871119,0.2689074809992793,0.43033289491419696
screening,MTL,single_object,134,0.8676361605970149,0.8687144610652395,0.47561884765773577,0.35939022388306574,0.4492377798538322
screening,MTL,natural,134,0.41852031135074635,0.3975455915535168,0.5275001141083573,0.3012330264399379,0.43033289491419696
screening,MTL,indoor,134,0.41421956729104475,0.40838479835188585,0.5128562082553593,0.6289406578759589,0.6289406578759589
screening,MTL,text_present,134,0.4949225212537314,0.5780426241386342,0.41009782889832186,0.0007249774488882481,0.007249774488882481
screening,MTL,colorful,134,0.4627466817089552,0.5378970430839959,0.42398101236934593,0.004263449961450063,0.02131724980725031
screening,MFC,famous,29,0.5422361593103449,0.5206780107500001,0.520509353166554,0.7091117290772566,0.9371018036297859
screening,MFC,face_visible,29,0.7820967979310345,0.7040602876013072,0.5454699121027722,0.40784768861467746,0.6797461476911292
screening,MFC,child,29,0.08196999762068966,0.11065779636356207,0.39052287581699346,0.04620339072155128,0.16518976803946797
screening,MFC,smiling,29,0.284769768137931,0.3487550370094771,0.4304146946134776,0.20517998240206614,0.41923660283786396
screening,MFC,emotional,29,0.4552834564827585,0.4027076341143791,0.5689091728645481,0.209618301418932,0.41923660283786396
screening,MFC,single_object,29,0.826416894137931,0.8688325574591502,0.39215686274509803,0.04955693041184039,0.16518976803946797
screening,MFC,natural,29,0.49759040724137926,0.39165483376797383,0.6177597475771918,0.032001472104565554,0.16518976803946797
screening,MFC,indoor,29,0.3878337339655173,0.3894806209158497,0.5108744647284201,0.8433916232668073,0.9371018036297859
screening,MFC,text_present,29,0.5757936748275863,0.5758985898382352,0.49594320486815413,0.9415050520784999,0.9415050520784998
screening,MFC,colorful,29,0.5349820017241379,0.5452205327029411,0.4875478927203065,0.8209738164041182,0.9371018036297859
screening,amygdala,famous,101,0.5871179550495051,0.5362730024421297,0.5600820498716539,0.04792250882249476,0.11980627205623691
screening,amygdala,face_visible,101,0.7832539886138614,0.7209385301481481,0.5824051155115512,0.006666553309361409,0.02626302501961937
screening,amygdala,child,101,0.0986979027128713,0.1065200973019676,0.5126283461679502,0.6776965116729843,0.8471206395912303
screening,amygdala,smiling,101,0.3057805596534653,0.35037699924976845,0.45841354968830217,0.17097603051722599,0.2849600508620433
screening,amygdala,emotional,101,0.40858607780198014,0.40169215741898145,0.5078612027869454,0.7959076505650238,0.8834592202301701
screening,amygdala,single_object,101,0.8805686932673268,0.87045864953125,0.5044577374404107,0.8834592202301702,0.8834592202301701
screening,amygdala,natural,101,0.43905738882178225,0.38836482696180546,0.5556586908690869,0.06688995029112284,0.13377990058224568
screening,amygdala,indoor,101,0.4105431966534654,0.4017055843596065,0.5174757059039238,0.5651484633507246,0.8073549476438923
screening,amygdala,text_present,101,0.4720070556237624,0.5759473200347222,0.3894504033736707,0.0002729195209836803,0.0027291952098368027
screening,amygdala,colorful,101,0.4545138046435643,0.533217385106713,0.41929088742207554,0.007878907505885812,0.02626302501961937
screening,hippocampus,famous,33,0.5557369715151516,0.5246173178262626,0.5356290174471993,0.49317248613613374,0.6538629509573344
screening,hippocampus,face_visible,33,0.6965196554242424,0.7159539593191919,0.45500459136822774,0.38672308016867973,0.6445384669477995
screening,hippocampus,child,33,0.1219072613939394,0.10930116954646464,0.5555249464340374,0.28539889860457524,0.6445384669477995
screening,hippocampus,smiling,33,0.300502372909091,0.3564543350965656,0.436455463728191,0.22146294993804794,0.6445384669477995
screening,hippocampus,emotional,33,0.4677838595757576,0.39457631384242425,0.5902969084787266,0.08227564289632362,0.4113782144816181
screening,hippocampus,single_object,33,0.8280547727272727,0.8618895907373738,0.3891337618610346,0.0328760996352314,0.32876099635231404
screening,hippocampus,natural,33,0.3556644075757576,0.40106156906262624,0.47202326293235386,0.5906013501291631,0.6538629509573344
screening,hippocampus,indoor,33,0.4254714895454545,0.4059721423395959,0.5233241505968779,0.6538629509573344,0.6538629509573344
screening,hippocampus,text_present,33,0.5650577342424243,0.5845250899373737,0.4731251913070095,0.6053288678962061,0.6538629509573344
screening,hippocampus,colorful,33,0.4879442751515151,0.5361591108448486,0.451147842056933,0.34731091177005546,0.6445384669477995
sternberg,MTL,famous,132,0.6046861092424242,0.5162374829999999,0.5879208754208755,0.026202682994468974,0.2593383077558031
sternberg,MTL,face_visible,132,0.8034329585606059,0.7810673608333333,0.5119949494949495,0.7623558950816027,0.9405867733733938
sternberg,MTL,child,132,0.11327074501439392,0.11758643551,0.5029882154882155,0.9405867733733938,0.9405867733733938
sternberg,MTL,smiling,132,0.30868614550757584,0.33605639580333335,0.4875,0.752635988529747,0.9405867733733938
sternberg,MTL,emotional,132,0.47625051084090914,0.4099753586111112,0.5768939393939394,0.05186766155116062,0.2593383077558031
sternberg,MTL,single_object,132,0.8686681982954544,0.8765049060555554,0.5030723905723906,0.9388925293072538,0.9405867733733938
sternberg,MTL,natural,132,0.3914866281212121,0.39720683091111114,0.5050084175084175,0.9000166561505307,0.9405867733733938
sternberg,MTL,indoor,132,0.43494446056818176,0.4176418318888889,0.5240319865319866,0.5439129224114703,0.9405867733733938
sternberg,MTL,text_present,132,0.527160974909091,0.5804667688777777,0.4481060606060606,0.18959775855283745,0.6319925285094582
sternberg,MTL,colorful,132,0.47519416593939395,0.48044056557777787,0.49095117845117847,0.8197580746279362,0.9405867733733938
sternberg,MFC,famous,44,0.5318730922727272,0.4789913221428571,0.550974025974026,0.3621328113133029,0.7490639240645136
sternberg,MFC,face_visible,44,0.7895367452272729,0.7502801083571428,0.5292207792207793,0.6022527475540139,0.7990549187167012
sternberg,MFC,child,44,0.13548499109090908,0.12758981244142856,0.45032467532467535,0.3745319620322568,0.7490639240645136
sternberg,MFC,smiling,44,0.24763588995454552,0.3585355935,0.37337662337662336,0.02332426545472734,0.2332426545472734
sternberg,MFC,emotional,44,0.4940514140909091,0.4306168599571429,0.5737012987012987,0.18719497998000167,0.7490639240645136
sternberg,MFC,single_object,44,0.8021765790909089,0.8678430902142857,0.4896103896103896,0.8544635211720224,0.8544635211720223
sternberg,MFC,natural,44,0.2858966482272727,0.36082166615714284,0.4331168831168831,0.23144752177989292,0.7490639240645136
sternberg,MFC,indoor,44,0.42450938836363633,0.4112441556714286,0.5162337662337663,0.7731619837738936,0.8544635211720223
sternberg,MFC,text_present,44,0.5699150556818182,0.5892979266999999,0.4737012987012987,0.639243934973361,0.7990549187167012
sternberg,MFC,colorful,44,0.48262043804545446,0.4506440780285714,0.5311688311688312,0.5781411035179091,0.7990549187167012
sternberg,amygdala,famous,90,0.6387780839999999,0.5726409115000001,0.5664814814814815,0.1686411249367854,0.562137083122618
sternberg,amygdala,face_visible,90,0.8269208951111112,0.8177619069999998,0.49962962962962965,0.9954043997141918,0.9954043997141918
sternberg,amygdala,child,90,0.11125108488888888,0.11933880703333336,0.48962962962962964,0.8312402147714493,0.9603596219191824
sternberg,amygdala,smiling,90,0.2680583829888889,0.31894063205500006,0.46314814814814814,0.44593551936024234,0.9603596219191824
sternberg,amygdala,emotional,90,0.47719086235555547,0.40457290776666677,0.5855555555555556,0.07638012045546778,0.562137083122618
sternberg,amygdala,single_object,90,0.8858915437222222,0.8724868829166665,0.5183333333333333,0.7052638902654815,0.9603596219191824
sternberg,amygdala,natural,90,0.4201216825333334,0.40661095048333334,0.5251851851851852,0.6028554995747011,0.9603596219191824
sternberg,amygdala,indoor,90,0.4413410609444445,0.4473309875,0.49166666666666664,0.8643236597272642,0.9603596219191824
sternberg,amygdala,text_present,90,0.4880189038222221,0.5650397798166666,0.42814814814814817,0.1367670642599535,0.562137083122618
sternberg,amygdala,colorful,90,0.44433001171111114,0.4630200728666667,0.4787037037037037,0.6601820137485899,0.9603596219191824
sternberg,hippocampus,famous,42,0.5316318776190476,0.5080586076666667,0.5140873015873015,0.8118002771061757,0.8118002771061757
sternberg,hippocampus,face_visible,42,0.7531016659523809,0.7604957404166666,0.47559523809523807,0.678155368460561,0.8118002771061757
sternberg,hippocampus,child,42,0.1175985881404762,0.10946281489833336,0.48234126984126985,0.7646875078370655,0.8118002771061757
sternberg,hippocampus,smiling,42,0.39574563661904766,0.37004763468333335,0.5426587301587301,0.4666634440739065,0.8118002771061757
sternberg,hippocampus,emotional,42,0.47423547188095244,0.4092656446500001,0.566468253968254,0.2559158934862046,0.8118002771061757
sternberg,hippocampus,single_object,42,0.8317610295238093,0.8598741230833332,0.4438492063492063,0.33744803886892794,0.8118002771061757
sternberg,hippocampus,natural,42,0.3301257972380953,0.39754513739999997,0.4371031746031746,0.2824327605839362,0.8118002771061757
sternberg,hippocampus,indoor,42,0.42123745976190474,0.3952669091166666,0.5343253968253968,0.5585100396312543,0.8118002771061757
sternberg,hippocampus,text_present,42,0.6110368415238097,0.5867168244,0.5228174603174603,0.6981864721738423,0.8118002771061757
sternberg,hippocampus,colorful,42,0.5413316392857143,0.5052789241666666,0.5327380952380952,0.5769508279098251,0.8118002771061757
