task,area,attribute,n_cells,mean_pref,mean_shown,auc,p,q
screening,MTL,famous,67,0.6082481741791043,0.5119744579267677,0.6088496909392431,0.0030593858674779787,0.019963507778466033
screening,MTL,face_visible,67,0.7799747387910447,0.699703142554293,0.6023669531132217,0.005347786521255428,0.019963507778466033
screening,MTL,child,67,0.10970083488059702,0.11222276431868684,0.5202962460425147,0.5809244168417429,0.6454715742686032
screening,MTL,smiling,67,0.3121840584328358,0.3551105867583333,0.46149932157394846,0.2949128793503756,0.4213041133576794
screening,MTL,emotional,67,0.4118916002089552,0.3982120668270202,0.5146050052766471,0.6912437787016736,0.6912437787016736
screening,MTL,single_object,67,0.8895589776119402,0.867035012784091,0.5307741595055028,0.4025056165348776,0.503132020668597
screening,MTL,natural,67,0.4184631788507463,0.39397696012878786,0.5441353836876225,0.22985452533116557,0.4213041133576794
screening,MTL,indoor,67,0.42105120889552233,0.392419604485606,0.5388022011156339,0.29114653502927745,0.4213041133576794
screening,MTL,text_present,67,0.49751375695522393,0.5834910792108586,0.4085820895522388,0.012869428120211487,0.03217357030052872
screening,MTL,colorful,67,0.44477392749253736,0.545829587825,0.398989898989899,0.00598905233353981,0.019963507778466033
screening,MFC,famous,10,0.53133589,0.5094910849722223,0.5254166666666666,0.7850257321136773,0.9760867213683804
screening,MFC,face_visible,10,0.6801447380000001,0.6867373191638889,0.48791666666666667,0.8974415595960136,0.9760867213683804
screening,MFC,child,10,0.0990809037,0.1172178406636111,0.36625,0.1493549140751363,0.9760867213683804
screening,MFC,smiling,10,0.3499568611,0.34462317048833335,0.4970833333333333,0.9760867213683805,0.9760867213683804
screening,MFC,emotional,10,0.4158144136,0.40832875978888883,0.51375,0.883227402537822,0.9760867213683804
screening,MFC,single_object,10,0.8349346289999999,0.8710709505972223,0.4845833333333333,0.8690507437675834,0.9760867213683804
screening,MFC,natural,10,0.399676047,0.3773518072861112,0.5381944444444444,0.6813202939055385,0.9760867213683804
screening,MFC,indoor,10,0.33875050930000006,0.37904758569861113,0.46291666666666664,0.6901349004561457,0.9760867213683804
screening,MFC,text_present,10,0.595864972,0.5856846493972223,0.5154166666666666,0.8690507437675834,0.9760867213683804
screening,MFC,colorful,10,0.653149048,0.5525338539338888,0.59125,0.3255133931141154,0.9760867213683804
screening,amygdala,famous,50,0.6160330907999999,0.5278448155259259,0.6020888888888889,0.0159111132513346,0.0397777831283365
screening,amygdala,face_visible,50,0.8084572616,0.6959370646340741,0.6452296296296296,0.000603770761998123,0.00603770761998123
screening,amygdala,child,50,0.10997755188000001,0.1045307878042963,0.5298518518518519,0.48097288160224105,0.534414312891379
screening,amygdala,smiling,50,0.30103257826,0.34712337185303704,0.4600740740740741,0.3458424578867586,0.4323030723584482
screening,amygdala,emotional,50,0.38562703895999995,0.40170507386222215,0.48345185185185185,0.6961590159775147,0.6961590159775147
screening,amygdala,single_object,50,0.8966152346,0.8689764696518519,0.5604888888888889,0.1531845222413663,0.24937475242319643
screening,amygdala,natural,50,0.4434364866,0.38160701867111113,0.5852888888888889,0.04399495035565834,0.08798990071131668
screening,amygdala,indoor,50,0.42503685865999996,0.38110291030533333,0.5574962962962963,0.1745623266962375,0.24937475242319643
screening,amygdala,text_present,50,0.48259472312000007,0.581753488837037,0.39453333333333335,0.012748102059075346,0.0397777831283365
screening,amygdala,colorful,50,0.41709199584000006,0.5412146000358519,0.37334814814814815,0.002779605491681568,0.01389802745840784
screening,hippocampus,famous,17,0.5853513605882353,0.5246173178262626,0.5701128936423054,0.32566964271228005,0.9382023471257563
screening,hippocampus,face_visible,17,0.6962026128823531,0.7159539593191919,0.4587641117052882,0.5634534383368819,0.9382023471257563
screening,hippocampus,child,17,0.10888696135294118,0.10930116954646464,0.5135472370766488,0.8499058142225964,0.9382023471257563
screening,hippocampus,smiling,17,0.3449825295294118,0.3564543350965656,0.4919191919191919,0.9103930509244695,0.9382023471257563
screening,hippocampus,emotional,17,0.48914030976470585,0.39457631384242425,0.6000594177064765,0.16060689864224298,0.9382023471257563
screening,hippocampus,single_object,17,0.8688052805882353,0.8618895907373738,0.4376114081996435,0.38184651548807025,0.9382023471257563
screening,hippocampus,natural,17,0.3450122737058823,0.40106156906262624,0.4619726678550208,0.5942395378656511,0.9382023471257563
screening,hippocampus,indoor,17,0.40932870958823525,0.4059721423395959,0.5055852644087938,0.9382023471257562,0.9382023471257563
screening,hippocampus,text_present,17,0.5413932682352941,0.5845250899373737,0.45187165775401067,0.5000424018756512,0.9382023471257563
screening,hippocampus,colorful,17,0.5261913735294117,0.5361591108448486,0.49096850861556746,0.8998259767260077,0.9382023471257563
sternberg,MTL,famous,111,0.6132884457297296,0.5162374829999999,0.5974974974974975,0.01753432677858436,0.17534326778584358
sternberg,MTL,face_visible,111,0.8127869986486488,0.7810673608333333,0.5202202202202202,0.6229644484208631,0.8711028505530629
