task,area,category,n_concept_cells,n_pref,frac_pref,frac_shown_expected,odds_ratio,p,q
screening,MTL,animal,134,17,0.12686567164179105,0.10574113559188177,1.083480695549661,0.7763364008743554,0.8138245109141395
screening,MTL,cartoon_art,134,1,0.007462686567164179,0.008884150675195433,1.2218045112781954,0.5929600530146906,0.7623772110188879
screening,MTL,face_person,134,78,0.582089552238806,0.4716299455105422,1.4837593984962405,0.034492810645672556,0.2329410447672209
screening,MTL,food,134,1,0.007462686567164179,0.022703940614388365,0.22297932330827067,0.1678733865643624,0.2891063657921226
screening,MTL,landmark_place,134,9,0.06716417910447761,0.13454552633657088,0.5265762711864407,0.08096692506475037,0.2429007751942511
screening,MTL,landscape_nature,134,3,0.022388059701492536,0.040788122877675116,0.426412213740458,0.19273757719474843,0.2891063657921226
screening,MTL,object,134,3,0.022388059701492536,0.060866303403616685,0.328125,0.05176467661493798,0.2329410447672209
screening,MTL,scene_with_people,134,6,0.04477611940298507,0.03664218589591718,1.1322115384615385,0.8138245109141395,0.8138245109141395
screening,MTL,vehicle,134,16,0.11940298507462686,0.11819868909421129,1.5065913370998116,0.1887775263172491,0.2891063657921226
screening,amygdala,animal,101,15,0.1485148514851485,0.10579391272460568,1.363312766967252,0.3250590694958516,0.4875886042437774
screening,amygdala,cartoon_art,101,1,0.009900990099009901,0.009272355807009258,1.718,0.48580690128100357,0.624608873075576
screening,amygdala,face_person,101,61,0.6039603960396039,0.4779192204934773,1.5463286713286712,0.045642182905069384,0.20538982307281223
screening,amygdala,food,101,0,0.0,0.019068573524019066,0.0,0.2551968734297011,0.4711335440445626
screening,amygdala,landmark_place,101,6,0.0594059405940594,0.13560165540363556,0.41135011441647595,0.037686439518866986,0.20538982307281223
screening,amygdala,landscape_nature,101,1,0.009900990099009901,0.036120278694536094,0.21736842105263157,0.11318173969516941,0.3395452190855082
screening,amygdala,object,101,3,0.0297029702970297,0.05801770653255789,0.4684251058914132,0.26174085780253475,0.4711335440445626
screening,amygdala,scene_with_people,101,4,0.039603960396039604,0.039184870868039165,0.9484536082474226,1.0,1.0
screening,amygdala,vehicle,101,10,0.09900990099009901,0.1190214259521189,1.2464678178963893,0.5656747272141093,0.6363840681158729
screening,hippocampus,animal,33,2,0.06060606060606061,0.10557960557960559,0.40512333965844405,0.2910743547024578,0.8616607529471597
screening,hippocampus,cartoon_art,33,0,0.0,0.007696007696007695,0.0,1.0,1.0
screening,hippocampus,face_person,33,17,0.5151515151515151,0.4523809523809524,1.2142857142857142,0.5949223152516202,0.9721424348944449
screening,hippocampus,food,33,1,0.030303030303030304,0.0338303671637005,0.935546875,1.0,1.0
screening,hippocampus,landmark_place,33,3,0.09090909090909091,0.13131313131313127,0.7839285714285714,1.0,1.0
screening,hippocampus,landscape_nature,33,2,0.06060606060606061,0.055074555074555026,1.456221198156682,0.6480949565962966,0.9721424348944449
screening,hippocampus,object,33,0,0.0,0.06958473625140295,0.0,0.2468419935774651,0.8616607529471597
screening,hippocampus,scene_with_people,33,2,0.06060606060606061,0.02886002886002885,1.6162988115449914,0.3829603346431821,0.8616607529471597
screening,hippocampus,vehicle,33,6,0.18181818181818182,0.11568061568061558,2.0226757369614514,0.13946992161507146,0.8616607529471597
screening,MFC,animal,29,8,0.27586206896551724,0.1185914979018427,3.098791755508173,0.01346586007877214,0.12119274070894925
screening,MFC,cartoon_art,29,0,0.0,0.004378762999452655,0.0,1.0,1.0
screening,MFC,face_person,29,12,0.41379310344827586,0.40941434044882324,0.7685203774342502,0.5702101124068224,0.8029806145727578
screening,MFC,food,29,1,0.034482758620689655,0.05546433132640028,1.6456043956043955,0.4805505888664511,0.8029806145727578
screening,MFC,landmark_place,29,3,0.10344827586206896,0.13045064769202697,0.6358428805237316,0.6017413453342422,0.8029806145727578
screening,MFC,landscape_nature,29,2,0.06896551724137931,0.07735814632366356,1.2211640211640211,0.6808595909320618,0.8029806145727578
screening,MFC,object,29,0,0.0,0.07589855865717934,0.0,0.4020956980893572,0.8029806145727578
screening,MFC,scene_with_people,29,2,0.06896551724137931,0.035759897828863345,1.8148148148148149,0.33120574662062485,0.8029806145727578
screening,MFC,vehicle,29,1,0.034482758620689655,0.09268381682174781,0.45,0.7137605462868959,0.8029806145727578
sternberg,MTL,animal,132,11,0.08333333333333333,0.06060606060606059,0.9318181818181818,1.0,1.0
sternberg,MTL,cartoon_art,132,0,0.0,0.0015151515151515152,0.0,0.40540540540540543,1.0
sternberg,MTL,face_person,132,87,0.6590909090909091,0.601515151515152,1.4784313725490197,0.2045448242165726,1.0
sternberg,MTL,food,132,1,0.007575757575757576,0.007575757575757576,0.6793893129770993,1.0,1.0
sternberg,MTL,landmark_place,132,5,0.03787878787878788,0.060606060606060635,0.4668166479190101,0.23359440019097755,1.0
sternberg,MTL,landscape_nature,132,5,0.03787878787878788,0.050000000000000024,0.8464566929133859,1.0,1.0
sternberg,MTL,object,132,9,0.06818181818181818,0.05606060606060609,0.75,0.6128613663419249,1.0
sternberg,MTL,scene_with_people,132,4,0.030303030303030304,0.054545454545454564,0.671875,0.7178558876566122,1.0
sternberg,MTL,vehicle,132,10,0.07575757575757576,0.10757575757575752,1.1475409836065573,1.0,1.0
sternberg,amygdala,animal,90,6,0.06666666666666667,0.035555555555555556,2.0714285714285716,0.47691964190998853,1.0
sternberg,amygdala,cartoon_art,90,0,0.0,0.0,,1.0,1.0
sternberg,amygdala,face_person,90,64,0.7111111111111111,0.6577777777777781,1.3254437869822486,0.47463406027563027,1.0
sternberg,amygdala,food,90,0,0.0,0.0022222222222222222,0.0,0.3999999999999999,1.0
sternberg,amygdala,landmark_place,90,1,0.011111111111111112,0.037777777777777785,0.15730337078651685,0.08341558400529493,0.7507402560476544
sternberg,amygdala,landscape_nature,90,5,0.05555555555555555,0.06888888888888892,1.1176470588235294,1.0,1.0
sternberg,amygdala,object,90,6,0.06666666666666667,0.05333333333333335,1.0,1.0,1.0
sternberg,amygdala,scene_with_people,90,4,0.044444444444444446,0.04666666666666666,0.6511627906976745,0.713927435321202,1.0
sternberg,amygdala,vehicle,90,4,0.044444444444444446,0.09777777777777777,0.8837209302325582,1.0,1.0
sternberg,hippocampus,animal,42,5,0.11904761904761904,0.11428571428571428,1.2162162162162162,0.7573533750195128,1.0
sternberg,hippocampus,cartoon_art,42,0,0.0,0.004761904761904762,0.0,1.0,1.0
sternberg,hippocampus,face_person,42,23,0.5476190476190477,0.4809523809523809,1.2105263157894737,0.6899675026067793,1.0
sternberg,hippocampus,food,42,1,0.023809523809523808,0.01904761904761905,1.4390243902439024,1.0,1.0
sternberg,hippocampus,landmark_place,42,4,0.09523809523809523,0.10952380952380954,1.1578947368421053,1.0,1.0
sternberg,hippocampus,landscape_nature,42,0,0.0,0.009523809523809525,0.0,0.5107746068724519,1.0
sternberg,hippocampus,object,42,3,0.07142857142857142,0.06190476190476191,0.6923076923076923,0.7331020814815181,1.0
sternberg,hippocampus,scene_with_people,42,0,0.0,0.07142857142857142,0.0,0.26616191030867786,1.0
sternberg,hippocampus,vehicle,42,6,0.14285714285714285,0.12857142857142861,1.5,0.5448375946794599,1.0
sternberg,MFC,animal,44,3,0.06818181818181818,0.045454545454545456,0.7804878048780488,1.0,1.0
sternberg,MFC,cartoon_art,44,2,0.045454545454545456,0.01363636363636364,3.2857142857142856,0.558104331625524,0.8407668012347118
sternberg,MFC,face_person,44,27,0.6136363636363636,0.6045454545454546,1.3374613003095974,0.5605112008231412,0.8407668012347118
sternberg,MFC,food,44,0,0.0,0.0,,1.0,1.0
sternberg,MFC,landmark_place,44,4,0.09090909090909091,0.10454545454545454,0.9,1.0,1.0
sternberg,MFC,landscape_nature,44,0,0.0,0.018181818181818184,0.0,0.5218133830150599,0.8407668012347118
sternberg,MFC,object,44,2,0.045454545454545456,0.05454545454545454,0.5079365079365079,0.48257056061399195,0.8407668012347118
sternberg,MFC,scene_with_people,44,6,0.13636363636363635,0.08636363636363635,2.6052631578947367,0.18084968805140383,0.8138235962313173
sternberg,MFC,vehicle,44,0,0.0,0.07272727272727275,0.0,0.08031553493644827,0.7228398144280345
