space,condition,outcome,predictor,n_subjects,mean_slope,sem,t,p,wilcoxon_p
clip,OUT,rt,sim_probe_max,21,0.05504967523261034,0.025556477584464974,2.1540400100393104,0.04361214800600385,0.05469322204589844
clip,OUT,correct,sim_probe_max,21,-0.0009415101291653192,0.00890283789645442,-0.10575393375861401,0.9168310955226542,0.8917322158813477
clip,IN,rt,sim_probe_other,21,-0.02042989064598357,0.032173280614414435,-0.6349955694860184,0.5326293344871711,0.8917322158813477
clip,IN,correct,sim_probe_other,21,0.009311844706894317,0.011015160429291761,0.8453662356230465,0.4079065344860402,0.49480247497558594
clip,ALL,rt,sim_within,21,-0.03995155297082603,0.022392722636134423,-1.7841311045561512,0.08958288973597106,0.1789875030517578
clip,ALL,correct,sim_within,21,0.013684069809602815,0.008791984269380621,1.5564256475366547,0.13529008192625103,0.11934185028076172
resnet50,OUT,rt,sim_probe_max,21,0.0026109802496813023,0.02714110828111057,0.09620020754636867,0.9243190033066733,0.8917322158813477
resnet50,OUT,correct,sim_probe_max,21,-0.0016691957365014224,0.00812684739157704,-0.20539277484543855,0.8393413744861729,0.7079343795776367
resnet50,IN,rt,sim_probe_other,21,-0.009454543155392143,0.02893737458045095,-0.32672428969348494,0.747270999594153,0.9728584289550781
resnet50,IN,correct,sim_probe_other,21,0.018452439189958536,0.012089593157419332,1.5263077052873657,0.14259304004556322,0.08219528198242188
resnet50,ALL,rt,sim_within,21,-0.025506029644957066,0.01812260379862315,-1.407415288022512,0.17465655244649805,0.21568012237548828
resnet50,ALL,correct,sim_within,21,0.007390539639635908,0.009054530636839208,0.8162255931375176,0.423986682242244,0.3038158416748047
dinov2,OUT,rt,sim_probe_max,21,0.009199811616320412,0.032609443933872495,0.28212108231518374,0.7807494220992683,0.6332969665527344
dinov2,OUT,correct,sim_probe_max,21,-0.006354499965604166,0.009309711105907385,-0.6825668265443791,0.5027106328993178,0.5854024887084961
dinov2,IN,rt,sim_probe_other,21,-0.014323764875059434,0.01842915861230373,-0.7772337943576306,0.44611741109433956,0.1789875030517578
dinov2,IN,correct,sim_probe_other,21,0.021884470616878333,0.009947146568945135,2.2000752140519753,0.03972250114806688,0.038437843322753906
dinov2,ALL,rt,sim_within,21,-0.032305826818788345,0.015680593268783346,-2.060242636552676,0.052625428511278736,0.038437843322753906
dinov2,ALL,correct,sim_within,21,0.01130571326240096,0.00897066820759342,1.2602977839299632,0.22206869892522793,0.21568012237548828
alexnet_conv2,OUT,rt,sim_probe_max,21,-0.044018956085223625,0.031229463884485522,-1.4095328772868174,0.17403840577988824,0.2428417205810547
alexnet_conv2,OUT,correct,sim_probe_max,21,0.011384693184458838,0.008338286844894372,1.3653515879499658,0.18730429844775592,0.16780662536621094
alexnet_conv2,IN,rt,sim_probe_other,21,0.01687331722410231,0.023092397790460597,0.730687102188783,0.47344397230348845,0.9186935424804688
alexnet_conv2,IN,correct,sim_probe_other,21,0.012447942358592104,0.012965527491393705,0.9600799016356901,0.34847905053093853,0.21568012237548828
alexnet_conv2,ALL,rt,sim_within,21,0.012691425985775278,0.017282607667459447,0.7343467045005787,0.4712601520688281,0.6578273773193359
alexnet_conv2,ALL,correct,sim_within,21,0.009477871279168108,0.008112003376969313,1.1683761505914323,0.2563941669830029,0.20291709899902344
vgg16_conv5,OUT,rt,sim_probe_max,21,0.02174642777408082,0.028355295586207543,0.7669265061253187,0.45208402895927746,0.8116779327392578
vgg16_conv5,OUT,correct,sim_probe_max,21,-0.003727586464759302,0.008145534258475655,-0.45762332420131246,0.6521556198301087,0.6332969665527344
vgg16_conv5,IN,rt,sim_probe_other,21,-0.029246228035494044,0.029183095024683584,-1.0021633418510636,0.3282363869369125,0.3376598358154297
vgg16_conv5,IN,correct,sim_probe_other,21,0.018306675537648694,0.01344146508608039,1.36195536873481,0.18835648209056283,0.1372833251953125
vgg16_conv5,ALL,rt,sim_within,21,-0.03532091334390704,0.017885677132821024,-1.9748155511032661,0.06225656883815424,0.1372833251953125
vgg16_conv5,ALL,correct,sim_within,21,0.011664160230513556,0.008968222032165825,1.3006101085230002,0.20817945313767022,0.09579944610595703
