criterion,family,depth,view,layer_small,layer_large,n,small_mean,large_mean,large_minus_small,sem,frac_large_better,wilcoxon_p,fdr_q
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,19,0.025094565358483995,0.021675472545966565,-0.0034190928125174334,0.003989294755241551,0.5263157894736842,0.6794281005859375,0.8588571259469697
RSA (MTL),CLIP ViT (B/32 → L/14),½ depth,cls,block5,block11,19,0.024710666407063413,0.011885139593968676,-0.01282552681309474,0.006385135995002133,0.42105263157894735,0.104156494140625,0.3787508877840909
RSA (MTL),CLIP ViT (B/32 → L/14),¾ depth,cls,block8,block17,19,0.04669052617697375,0.0379095498970015,-0.008780976279972241,0.0046377248913397956,0.3684210526315789,0.12318801879882812,0.4106267293294271
RSA (MTL),CLIP ViT (B/32 → L/14),last block,cls,block11,block23,19,0.05567834486976575,0.050067486376527665,-0.005610858493238082,0.006061431141524425,0.47368421052631576,0.6507492065429688,0.8588571259469697
RSA (MTL),CLIP ViT (B/32 → L/14),final norm,cls,ln_post,ln_post,19,0.059772264845666175,0.049430589844949704,-0.010341675000716486,0.007522335307762404,0.47368421052631576,0.4180412292480469,0.7150094354936516
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,gap,block2,block5,19,0.020529029497814214,0.023165913096148797,0.002636883598334585,0.002467330849843491,0.6842105263157895,0.2753410339355469,0.7150094354936516
RSA (MTL),CLIP ViT (B/32 → L/14),½ depth,gap,block5,block11,19,0.04220153160559698,0.04108740977873579,-0.0011141218268611933,0.0028456969532881233,0.3684210526315789,0.2934989929199219,0.7150094354936516
RSA (MTL),CLIP ViT (B/32 → L/14),¾ depth,gap,block8,block17,19,0.046443985097277034,0.02708035482501982,-0.01936363027225721,0.006541378637008194,0.3684210526315789,0.00823211669921875,0.10976155598958334
RSA (MTL),CLIP ViT (B/32 → L/14),last block,gap,block11,block23,19,0.02952403947066403,0.029976596335182716,0.00045255686451869763,0.004079691656648264,0.5789473684210527,0.7982521057128906,0.886946784125434
RSA (MTL),CLIP ViT (B/32 → L/14),final norm,gap,ln_post,ln_post,19,0.032111914675956706,0.03293780801213877,0.0008258933361820658,0.0038935845176284317,0.5789473684210527,0.7982521057128906,0.886946784125434
RSA (MTL),DINOv2 (S/14 → B/14),¼ depth,cls,block2,block2,19,0.020120789286993932,0.017647155500558016,-0.0024736337864359214,0.003013708602578779,0.5263157894736842,0.8595733642578125,0.9087886796423681
RSA (MTL),DINOv2 (S/14 → B/14),½ depth,cls,block5,block5,19,0.027656365937286792,0.030559604468798462,0.00290323853151167,0.007463792206150324,0.5789473684210527,0.48996734619140625,0.7258775499131944
RSA (MTL),DINOv2 (S/14 → B/14),¾ depth,cls,block8,block8,19,0.042175033617664004,0.048913114281285044,0.006738080663621043,0.004713365582156521,0.6842105263157895,0.09551239013671875,0.3787508877840909
RSA (MTL),DINOv2 (S/14 → B/14),last block,cls,block11,block11,19,0.027748964416165044,0.02453774597832037,-0.0032112184378446755,0.0055849878350078324,0.3684210526315789,0.48996734619140625,0.7258775499131944
RSA (MTL),DINOv2 (S/14 → B/14),final norm,cls,norm,norm,19,0.029879515280555026,0.027172965596076806,-0.0027065496844782227,0.005800296712124198,0.47368421052631576,0.70855712890625,0.8588571259469697
RSA (MTL),DINOv2 (S/14 → B/14),¼ depth,gap,block2,block2,19,0.019306380781897267,0.020598846974756436,0.001292466192859169,0.0013639230485069716,0.631578947368421,0.4180412292480469,0.7150094354936516
RSA (MTL),DINOv2 (S/14 → B/14),½ depth,gap,block5,block5,19,0.028049810319771024,0.03246170458600126,0.0044118942662302344,0.0017587776238285925,0.6842105263157895,0.044559478759765625,0.24682998657226562
RSA (MTL),DINOv2 (S/14 → B/14),¾ depth,gap,block8,block8,19,0.04039071412793019,0.04268074060462581,0.00229002647669562,0.0012064878204360897,0.7894736842105263,0.049365997314453125,0.24682998657226562
RSA (MTL),DINOv2 (S/14 → B/14),last block,gap,block11,block11,19,0.04503089242862328,0.04512330599388398,9.241356526069395e-05,0.0025495040018225167,0.5263157894736842,0.7982521057128906,0.886946784125434
RSA (MTL),DINOv2 (S/14 → B/14),final norm,gap,norm,norm,19,0.0490108187802777,0.052343149794066256,0.003332331013788552,0.002264224800838162,0.47368421052631576,0.312408447265625,0.7150094354936516
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,134,0.10850717773726982,0.10780207801574826,-0.0007050997215215582,0.007768431521138658,0.5298507462686567,0.9760823244499559,0.9760823244499559
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),½ depth,cls,block5,block11,134,0.11816048536882236,0.08520107837546076,-0.03295940699336158,0.01024304500795644,0.43283582089552236,0.00409967173508452,0.0819934347016904
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¾ depth,cls,block8,block17,134,0.15359198139319644,0.13844562089026705,-0.01514636050292943,0.006742353643253526,0.41044776119402987,0.022365846291209253,0.17892677032967402
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),last block,cls,block11,block23,134,0.1543146707329765,0.1643660244911174,0.01005135375814086,0.008383462569354102,0.5970149253731343,0.06416380009862117,0.2851724448827608
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),final norm,cls,ln_post,ln_post,134,0.1703559367549165,0.16750150121395657,-0.0028544355409599307,0.007602924634675745,0.5298507462686567,0.6836279418783237,0.8588571259469697
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,gap,block2,block5,134,0.11325620408787662,0.11198041178547609,-0.0012757923024005419,0.004549996392829992,0.4626865671641791,0.3515292180816134,0.7150094354936516
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),½ depth,gap,block5,block11,134,0.15797974537380924,0.1561057657154779,-0.0018739796583313293,0.004560760998995428,0.4552238805970149,0.38703709218505733,0.7150094354936516
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¾ depth,gap,block8,block17,134,0.1659623144188845,0.15534867843617528,-0.010613635982709238,0.0067984684172071675,0.4925373134328358,0.23347255863132044,0.6670644532323441
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),last block,gap,block11,block23,134,0.14850019950857293,0.14069159224981387,-0.007808607258759089,0.011962274941317954,0.48507462686567165,0.5886690651614828,0.8409558073735468
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),final norm,gap,ln_post,ln_post,134,0.14360802610363033,0.15377089302062882,0.010162866916998527,0.011127351427990534,0.5373134328358209,0.3469558066757247,0.7150094354936516
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),¼ depth,cls,block2,block2,134,0.10087928315169507,0.11422972373993402,0.013350440588238944,0.006908439476861941,0.5970149253731343,0.04294313039223539,0.24682998657226562
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),½ depth,cls,block5,block5,134,0.12768795718764211,0.1268733998636398,-0.0008145573240022974,0.009669073249378757,0.4626865671641791,0.8633492456602497,0.9087886796423681
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),¾ depth,cls,block8,block8,134,0.15724156141328213,0.16346311153304577,0.006221550119763614,0.006321596517874297,0.5671641791044776,0.1942667738371947,0.5977439194990607
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),last block,cls,block11,block11,134,0.10594216533589032,0.10774156324568145,0.0017993979097911258,0.011189330374193064,0.5298507462686567,0.6983636814326051,0.8588571259469697
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),final norm,cls,norm,norm,134,0.11990507312494374,0.1157709268086818,-0.004134146316261974,0.010486074078237104,0.47761194029850745,0.9142265414493926,0.9376682476404026
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),¼ depth,gap,block2,block2,134,0.08841629475296403,0.09650001809750694,0.0080837233445429,0.004253787930405127,0.6268656716417911,0.011101447988862532,0.11101447988862533
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),½ depth,gap,block5,block5,134,0.11731684190060811,0.13467712170120671,0.017360279800598604,0.005216805145925006,0.6044776119402985,0.002252739824481001,0.0819934347016904
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),¾ depth,gap,block8,block8,134,0.15686093045517455,0.1590467518565691,0.0021858214013945436,0.004748994360093058,0.5746268656716418,0.39316091381828655,0.7150094354936516
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),last block,gap,block11,block11,134,0.15805963080359203,0.1531277533938882,-0.004931877409703818,0.004528272869528982,0.4925373134328358,0.42982230638894303,0.7150094354936516
similarity tuning (MTL concept cells),DINOv2 (S/14 → B/14),final norm,gap,norm,norm,134,0.16406498067504266,0.16194191578620395,-0.0021230648888387062,0.0034228960112340995,0.44776119402985076,0.4468808971835322,0.7150094354936516
