criterion,family,depth,view,layer_small,layer_large,unit_of_inference,small,large
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,1,0.025071417346521043,-0.002489007258610297
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,2,0.006847006726980119,0.0005354931705007782
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,3,0.004794971844555419,0.020094250174501567
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4,0.018678805121867315,0.014868825356857338
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,5,-0.002548735429754284,0.005449948743025576
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7,0.012458024390142024,0.016687920140012476
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,8,0.02881864104062902,0.015091391163911453
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,9,-0.040645330800279676,-0.023763254652893105
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,10,-0.020948739816618264,-0.03085298413844531
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,11,0.047526050677764047,0.038919855436078385
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,12,0.008847716009684816,0.02286868711393761
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,13,0.22915567051012142,0.19826944981998526
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,14,0.11972374574674594,0.09348256673916334
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,15,-0.010852317280993872,-0.0007889798703514159
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,16,0.07388176221843346,0.07818683957083873
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,17,-0.004004513426285071,-0.000539030178709966
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,18,-0.0026506085536579065,0.01627164238851908
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,20,-0.008618254943675048,-0.047669487079006534
RSA (MTL),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,21,-0.008738569570984551,-0.0027901482659502524
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,1-34,-0.19637425791178761,-0.1654102634696105
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,1-36,0.26682699157980333,0.2986191437680353
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,1-38,-0.03226896077971625,0.1027498335799272
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,2-0,-0.08060182143355778,-0.09636395540278687
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,3-39,0.07396607997206209,0.1261848680549025
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-8,0.2836057787541565,0.24962489472325636
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-13,-0.05308877767206443,-0.1840834314782062
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-15,0.18744372535832815,0.23546335828352613
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-25,0.14450548007382366,0.17388019934963928
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-33,0.10434128852901531,0.03634302851662803
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-39,0.22922111889260663,0.29385530703595686
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-40,-0.022658839488905,-0.034861700532091824
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-41,0.37550177120045036,0.3657038769687238
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-43,0.24976864199707025,0.2889807756034167
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-44,0.15497003198812734,0.010327976774241257
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-45,0.11460121492453842,0.11444422695888838
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,4-46,0.04878553749157335,0.022475098246904072
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,5-5,0.09622978979777055,0.18960776573581176
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,5-6,-0.06937952258799936,0.002075236827779892
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-17,0.10774145800754044,0.13366421482138477
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-20,-0.10542079562213676,-0.13604899151388822
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-21,-0.2231518517690527,-0.1972275124820326
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-23,-0.0799636873445099,-0.16527461462885173
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-24,-0.17815510236997845,-0.15306110472457476
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-25,-0.15756899797392318,-0.06900743191391434
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-26,-0.010106970088850484,0.05041356680318621
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,7-30,0.05488077905532923,0.16863733505310358
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,8-34,0.120846646880378,0.07909665821455239
similarity tuning (MTL concept cells),CLIP ViT (B/32 → L/14),¼ depth,cls,block2,block5,8-37,0.23002253098655473,0.271675369079593
