criterion,layer,n,supervised_mean,clip_mean,clip_minus_sup,sem,wilcoxon_p
RSA (MTL),layer1,19,0.018585887671481803,0.01889016654192506,0.0003042788704432557,0.0024801556740371186,0.5948867797851562
RSA (MTL),layer2,19,0.02401382035585589,0.025210607673836812,0.0011967873179809204,0.001887443517658471,0.4413337707519531
RSA (MTL),layer3,19,0.03995955139705131,0.04164635762840115,0.001686806231349832,0.001865744743778469,0.4413337707519531
RSA (MTL),layer4,19,0.053710476691865405,0.04693953931816469,-0.006770937373700701,0.005654912018552673,0.24125289916992188
RSA (MTL),avgpool,19,0.053710476691865405,0.051541271340411,-0.002169205351454391,0.00575971916466384,0.70855712890625
similarity tuning (MTL concept cells),layer1,134,0.09847257765187332,0.10456752715669716,0.006094949504823859,0.007781611828315695,0.7315125552301098
similarity tuning (MTL concept cells),layer2,134,0.12796723457240158,0.12251687345703545,-0.005450361115366122,0.00515458109478741,0.21815994316123688
similarity tuning (MTL concept cells),layer3,134,0.1564043329442462,0.1630033818394413,0.006599048895195093,0.005775050715818843,0.16345220604966926
similarity tuning (MTL concept cells),layer4,134,0.17295460060701734,0.17309111603532423,0.00013651542830691603,0.00906824942820122,0.5599195514019817
similarity tuning (MTL concept cells),avgpool,134,0.17295460060701734,0.1762611028148028,0.003306502207785452,0.010677132968767818,0.8320393443742511
