criterion,unit_of_inference,layer,supervised,clip
RSA (MTL),1,layer1,0.029771678228321427,0.015186463820860066
RSA (MTL),1,layer2,0.03438853843378698,0.016654283183719882
RSA (MTL),1,layer3,0.03303296492439349,0.04065195951187453
RSA (MTL),1,layer4,0.07010701576825007,0.04922963498276069
RSA (MTL),1,avgpool,0.07010701576825007,0.03225186568659693
RSA (MTL),2,layer1,0.005561445517559352,0.013213207878302517
RSA (MTL),2,layer2,0.002325857867102095,0.011578695094576227
RSA (MTL),2,layer3,0.0057692061840760615,0.018120161385044818
RSA (MTL),2,layer4,0.027346619757636338,0.005728863853521839
RSA (MTL),2,avgpool,0.027346619757636338,0.002936481238153438
RSA (MTL),3,layer1,0.03331886821641529,0.01745896149320602
RSA (MTL),3,layer2,0.018396371756771748,0.013276040296979867
RSA (MTL),3,layer3,0.01892224288756481,0.02170774042044354
RSA (MTL),3,layer4,0.038556492549664166,0.03091803479731645
RSA (MTL),3,avgpool,0.038556492549664166,0.03149329842090682
RSA (MTL),4,layer1,0.01512117796731333,0.021294445382216094
RSA (MTL),4,layer2,0.016700331401540924,0.026980619791195072
RSA (MTL),4,layer3,0.03352902432459371,0.02437272484591656
RSA (MTL),4,layer4,0.07035785411161662,0.07464652270020397
RSA (MTL),4,avgpool,0.07035785411161662,0.08439674833888766
RSA (MTL),5,layer1,0.0016848460552259783,-0.0004537082493688342
RSA (MTL),5,layer2,0.00019263732669148726,-0.008338582362997426
RSA (MTL),5,layer3,0.0022090563249879563,0.004695669752858982
RSA (MTL),5,layer4,-0.027947194194534536,0.01365924169318825
RSA (MTL),5,avgpool,-0.027947194194534536,0.024936525145455347
RSA (MTL),7,layer1,0.0051348596357555995,-0.0008344220107685903
RSA (MTL),7,layer2,0.011216190904185,0.003120460346137589
RSA (MTL),7,layer3,0.03180542154401119,0.044707725428712035
RSA (MTL),7,layer4,0.05616111164756679,0.06265483810545475
RSA (MTL),7,avgpool,0.05616111164756679,0.06912215128721927
RSA (MTL),8,layer1,0.025960532095242753,0.031598882009970866
RSA (MTL),8,layer2,0.02222771782168852,0.02771925906214933
RSA (MTL),8,layer3,0.01147236692192948,0.029513691045260557
RSA (MTL),8,layer4,0.049583018319183596,0.02385881338131786
RSA (MTL),8,avgpool,0.049583018319183596,0.015470620287738447
RSA (MTL),9,layer1,-0.02172998932248431,-0.01896682893836894
RSA (MTL),9,layer2,-0.03231428047492135,-0.023167764271379745
RSA (MTL),9,layer3,-0.021148991434645485,-0.02211961585841632
RSA (MTL),9,layer4,0.006197623394840639,-0.01611537040545157
RSA (MTL),9,avgpool,0.006197623394840639,-0.0109496993759669
RSA (MTL),10,layer1,-0.007162156315819875,-0.01073781291427287
RSA (MTL),10,layer2,-0.010392490748214706,-0.01649282203892417
RSA (MTL),10,layer3,0.0025102392163112368,-0.0008725545263092888
RSA (MTL),10,layer4,0.021269141012598008,-0.0012308607271982242
RSA (MTL),10,avgpool,0.021269141012598008,0.0033585767456464567
RSA (MTL),11,layer1,0.025315934430250375,0.03015583651245654
RSA (MTL),11,layer2,0.046532348340609424,0.050232398758615446
RSA (MTL),11,layer3,0.05591825098310731,0.052256701611311636
RSA (MTL),11,layer4,0.05958437215277515,0.069435932867269
RSA (MTL),11,avgpool,0.05958437215277515,0.011398231508730414
RSA (MTL),12,layer1,0.014828760104962037,0.010506373298875575
RSA (MTL),12,layer2,0.016136173477221443,0.018090064521180886
RSA (MTL),12,layer3,0.011323723124239985,0.017840719502912123
RSA (MTL),12,layer4,0.02024509534044681,0.004739858966189368
RSA (MTL),12,avgpool,0.02024509534044681,0.010426179969109984
RSA (MTL),13,layer1,0.15689506408726284,0.1605812895689267
RSA (MTL),13,layer2,0.2090492691476883,0.21813195430382673
RSA (MTL),13,layer3,0.27712865873025755,0.2686020752753383
RSA (MTL),13,layer4,0.3354581045855694,0.29581317940492635
RSA (MTL),13,avgpool,0.3354581045855694,0.3553903893965529
RSA (MTL),14,layer1,0.06195673090690269,0.0694478456386801
RSA (MTL),14,layer2,0.1134475661629686,0.11208079674264784
RSA (MTL),14,layer3,0.17596952303576557,0.16157931562189845
RSA (MTL),14,layer4,0.20724191566308137,0.16268886100231802
RSA (MTL),14,avgpool,0.20724191566308137,0.21302901597357182
