model_a,model_b,n,diff,p
alexnet,vgg16,132,-0.0032230855717925587,0.9077832539605512
alexnet,resnet18,132,0.03143787273179024,0.005589187069853273
alexnet,resnet50,132,0.03140476444363246,0.014438523765867142
alexnet,convnext_tiny,132,0.047863548421946366,0.0022859494338417384
alexnet,vit_b_16,132,0.026186241630429707,0.032947037802124726
alexnet,dinov2_small,132,0.024888330546722293,0.03370000775768363
alexnet,clip_vitb32,132,0.011605251504064393,0.5233249244921675
vgg16,resnet18,132,0.0346609583035828,0.0027781937342752096
vgg16,resnet50,132,0.03462785001542501,0.009367578218185365
vgg16,convnext_tiny,132,0.05108663399373892,0.00038856190386050553
vgg16,vit_b_16,132,0.02940932720222227,0.017839109010681933
vgg16,dinov2_small,132,0.028111416118514858,0.0227212305724318
vgg16,clip_vitb32,132,0.014828337075856946,0.23938677373765793
resnet18,resnet50,132,-3.310828815779111e-05,0.7180001205278894
resnet18,convnext_tiny,132,0.016425675690156114,0.35764239616691185
resnet18,vit_b_16,132,-0.0052516311013605385,0.34822541764337556
resnet18,dinov2_small,132,-0.00654954218506795,0.8380293395421577
resnet18,clip_vitb32,132,-0.019832621227725857,0.28677258042557263
resnet50,convnext_tiny,132,0.016458783978313893,0.28268219048320053
resnet50,vit_b_16,132,-0.0052185228132027575,0.6960489688989231
resnet50,dinov2_small,132,-0.006516433896910162,0.7384719527013439
resnet50,clip_vitb32,132,-0.019799512939568067,0.1611012926405493
convnext_tiny,vit_b_16,132,-0.021677306791516648,0.08269568253383386
convnext_tiny,dinov2_small,132,-0.022975217875224066,0.21493224922407406
convnext_tiny,clip_vitb32,132,-0.03625829691788197,0.023685616073153514
vit_b_16,dinov2_small,132,-0.0012979110837074098,0.5548342123022412
vit_b_16,clip_vitb32,132,-0.014580990126365323,0.5292551589112467
dinov2_small,clip_vitb32,132,-0.013283079042657912,0.4576589527591727
