model_a,model_b,n,diff,p
alexnet,vgg16,18,-0.0026120274557135527,0.6531762798991232
alexnet,resnet18,18,-0.003311761508794876,0.5551999038220277
alexnet,resnet50,18,-0.006868024824693017,0.18675274068124556
alexnet,convnext_tiny,18,0.0013163143744652672,0.8522672394618991
alexnet,vit_b_16,18,-0.006341615345506344,0.0972783857232532
alexnet,dinov2_small,18,-0.0008282904105898616,0.8245207332220813
alexnet,clip_vitb32,18,-0.009570687018724898,0.027515735208134752
vgg16,resnet18,18,-0.0006997340530813232,0.8088285053846864
vgg16,resnet50,18,-0.004255997368979464,0.44354189635111896
vgg16,convnext_tiny,18,0.003928341830178821,0.23504371051244843
vgg16,vit_b_16,18,-0.0037295878897927897,0.5433851201296913
vgg16,dinov2_small,18,0.0017837370451236924,0.6399478214184149
vgg16,clip_vitb32,18,-0.0069586595630113475,0.39089408466092945
resnet18,resnet50,18,-0.003556263315898141,0.4358696715105882
resnet18,convnext_tiny,18,0.0046280758832601444,0.2913578882637264
resnet18,vit_b_16,18,-0.003029853836711467,0.6020661394750693
resnet18,dinov2_small,18,0.002483471098205016,0.6101100752837638
resnet18,clip_vitb32,18,-0.006258925509930024,0.3887363551946671
resnet50,convnext_tiny,18,0.008184339199158286,0.14262914724341702
resnet50,vit_b_16,18,0.0005264094791866743,0.89478597176783
resnet50,dinov2_small,18,0.006039734414103158,0.23675132321117395
resnet50,clip_vitb32,18,-0.0027026621940318815,0.6792713575668283
convnext_tiny,vit_b_16,18,-0.0076579297199716135,0.25850160045807996
convnext_tiny,dinov2_small,18,-0.0021446047850551286,0.6715444358450051
convnext_tiny,clip_vitb32,18,-0.010887001393190167,0.22413244843386831
vit_b_16,dinov2_small,18,0.005513324934916483,0.27028065706052934
vit_b_16,clip_vitb32,18,-0.0032290716732185564,0.49123649091453303
dinov2_small,clip_vitb32,18,-0.008742396608135037,0.1636042536771659
