model_a,model_b,n,diff,p
alexnet,vgg16,134,-0.004254436841194604,0.6009747392878078
alexnet,resnet18,134,-0.00927403689853114,0.19350480045224672
alexnet,resnet50,134,-0.020404257880293916,0.017647661113998125
alexnet,convnext_tiny,134,0.0014203159681021752,0.9300978312939192
alexnet,vit_b_16,134,0.010349502384914139,0.4807447610904302
alexnet,dinov2_small,134,-0.004691218686558731,0.6149557881384534
alexnet,clip_vitb32,134,-0.017805594028193084,0.1436318154231021
vgg16,resnet18,134,-0.005019600057336538,0.31600904289318843
vgg16,resnet50,134,-0.016149821039099316,0.053759654608789474
vgg16,convnext_tiny,134,0.005674752809296775,0.9159884471898627
vgg16,vit_b_16,134,0.014603939226108741,0.8843456024406449
vgg16,dinov2_small,134,-0.00043678184536412415,0.889608004907531
vgg16,clip_vitb32,134,-0.013551157186998477,0.12847573788663738
resnet18,resnet50,134,-0.011130220981762778,0.37736081094792695
resnet18,convnext_tiny,134,0.01069435286663332,0.32684682452408775
resnet18,vit_b_16,134,0.01962353928344528,0.04480332750855818
resnet18,dinov2_small,134,0.0045828182119724125,0.2663478917319274
resnet18,clip_vitb32,134,-0.00853155712966194,0.4182373800338274
resnet50,convnext_tiny,134,0.02182457384839609,0.013073959610624021
resnet50,vit_b_16,134,0.030753760265208048,0.007326649557928797
resnet50,dinov2_small,134,0.015713039193735193,0.07916605765718583
resnet50,clip_vitb32,134,0.0025986638521008397,0.5045476055224873
convnext_tiny,vit_b_16,134,0.008929186416811969,0.7516499319266301
convnext_tiny,dinov2_small,134,-0.006111534654660897,0.9743112359590396
convnext_tiny,clip_vitb32,134,-0.019225909996295254,0.2550528587913157
vit_b_16,dinov2_small,134,-0.015040721071472868,0.22828589629727225
vit_b_16,clip_vitb32,134,-0.028155096413107216,0.023519251715360685
dinov2_small,clip_vitb32,134,-0.013114375341634352,0.14608051127590813
