claim,n_cells,cell_mean,cell_p,n_patients,patient_mean,patient_p,cluster_se,cluster_p,note
similarity tuning MTL concept clip_vitb32 ln_post,134.0,0.17035593675491648,2.3461949489710077e-12,16.0,0.10012967525534885,0.0155029296875,0.04583378478766161,0.00020174591619757722,
similarity tuning MTL concept resnet50 avgpool,134.0,0.17295460060701728,6.810335928901611e-13,16.0,0.11170310556753707,0.002685546875,0.051962659531740875,0.0008733377770011194,
similarity tuning MTL concept alexnet conv1,134.0,0.08901140418589426,5.977155919773095e-09,16.0,0.053181768182154816,0.0443115234375,0.028054061019756178,0.0015094907057126273,
similarity tuning MTL concept (strict) clip_vitb32 ln_post,67.0,0.11981240389340078,6.562716361720232e-05,13.0,0.0845735280848403,0.021484375,0.03451565656729714,0.0005180453113613628,
similarity tuning MTL concept (strict) resnet50 avgpool,67.0,0.12763274818430953,8.683027388727348e-06,13.0,0.07820074681709022,0.068115234375,0.03925046571672819,0.0011469638185801101,
similarity tuning MTL concept (strict) alexnet conv1,67.0,0.06813269793655434,0.00022823525776192273,13.0,0.05544452634040388,0.068115234375,0.02115359480645591,0.0012780802804561438,
face preference MTL concept_cell,134.0,0.1440416962805023,0.04431813232830573,16.0,0.02409474206349209,0.668548583984375,0.050361116084243526,0.004234048753841106,
face preference MTL concept_cell_strict,67.0,0.1743662639185027,0.04849686360571952,13.0,0.14616238462392311,0.0595703125,0.04568770690748964,0.00013536851113598282,
face preference amygdala concept_cell,101.0,0.16430928807166437,0.07578063792244272,14.0,0.05583999333999336,0.6376838503977392,0.04841994980995461,0.0006902539428465401,
face preference amygdala concept_cell_strict,50.0,0.25285714285714284,0.004629263941072972,11.0,0.2754689754689755,0.03125,0.047629161359841035,1.10305485382693e-07,
face preference hippocampus concept_cell,33.0,0.08201058201058203,0.4040889593443523,8.0,0.0699404761904762,0.640625,0.0899405775666333,0.36185783374774216,
face preference hippocampus concept_cell_strict,17.0,-0.05648926237161529,0.3419279562638222,8.0,-0.02380952380952379,0.84375,0.09199063386064373,0.539164949578584,
amygdala similarity tuning R vs L (patient means),101.0,0.25869301004364137,1.5450264522550532e-07,17.0,0.17382037674852438,0.007897984368572603,,,"R patients 9 (mean 0.212), L patients 8 (mean 0.039)"
face-preferring cells: resnet50 avgpool − VGGFace2 (other faces),89.0,0.062139311857345225,0.026173392858417216,13.0,0.023011966238622335,0.339599609375,0.028712995140368916,0.03045261629099169,
face-preferring cells: clip ln_post − VGGFace2 (other faces),89.0,0.059545917312732975,0.008571963513756787,13.0,-0.0027973084747918773,0.892578125,0.027061973359129143,0.027781799313885854,
cross-patient: same-category − different-category tuning agreement,4700.0,0.0370014425963336,,57.0,0.021833389334788292,0.4721154535171842,,,unit = patient pair
cross-patient: same preferred picture agreement,43.0,0.037627843617470895,0.4689130314038721,,,,,,95% CI -0.026…0.101 (n=43 pairs; underpowered)
memoranda vs rest: face_found,,0.5647085201793722,0.0131990444613505,20.0,0.5686030964109782,0.01237472708495766,0.0248271687004419,,"block q=0.020, family-wide q=0.290 over 52 contrasts"
memoranda vs rest: largest_face_area,,0.5705605381165919,0.0123927751065333,20.0,0.5763247712878254,0.01018174459997666,0.0267551989165103,,"block q=0.020, family-wide q=0.290 over 52 contrasts"
memoranda vs rest: n_faces,,0.5543632286995516,0.0421066829470304,20.0,0.556954609429979,0.03779580470865634,0.025508997917929,,"block q=0.042, family-wide q=0.290 over 52 contrasts"
