analysis,term,estimate,se,z,p,n_obs,n_subjects,random_structure,note
"1a depth x region (MTL vs MFC), all models",Intercept,0.00798857073592753,0.006112943367601247,1.3068288475020322,0.19127084549964957,1887,20,RI subject + RS rel_depth,"RE sd(Group)=0.0255, sd(rel_depth)=0.0151, sd(resid)=0.0381; fits: ok"
"1a depth x region (MTL vs MFC), all models","C(region, Treatment('MFC'))[T.MTL]",0.014895177303631593,0.003148927777586641,4.730237831954137,2.2425696014240824e-06,1887,20,RI subject + RS rel_depth,"RE sd(Group)=0.0255, sd(rel_depth)=0.0151, sd(resid)=0.0381; fits: ok"
"1a depth x region (MTL vs MFC), all models",rel_depth,0.008447804867741245,0.00504556463479543,1.6743031710431662,0.09407103161960136,1887,20,RI subject + RS rel_depth,"RE sd(Group)=0.0255, sd(rel_depth)=0.0151, sd(resid)=0.0381; fits: ok"
"1a depth x region (MTL vs MFC), all models","rel_depth:C(region, Treatment('MFC'))[T.MTL]",0.02217850245636972,0.0053831588698849435,4.119979178107324,3.789066390907436e-05,1887,20,RI subject + RS rel_depth,"RE sd(Group)=0.0255, sd(rel_depth)=0.0151, sd(resid)=0.0381; fits: ok"
"1a depth x region (MTL vs MFC), all models",rel_depth slope within MTL,0.030626307324110966,0.005141029245350811,5.957232659551055,2.565448957124896e-09,1887,20,RI subject + RS rel_depth,"RE sd(Group)=0.0255, sd(rel_depth)=0.0151, sd(resid)=0.0381; fits: ok"
"1a depth x region (MTL vs MFC), cnn models",Intercept,0.007344326319031147,0.005971813065100284,1.2298319185427842,0.21876005296167256,1332,20,RI subject + RS rel_depth,"RE sd(Group)=0.0240, sd(rel_depth)=0.0197, sd(resid)=0.0380; fits: ok"
"1a depth x region (MTL vs MFC), cnn models","C(region, Treatment('MFC'))[T.MTL]",0.01376904048125386,0.0038020572502025208,3.621471107653741,0.0002929325246967752,1332,20,RI subject + RS rel_depth,"RE sd(Group)=0.0240, sd(rel_depth)=0.0197, sd(resid)=0.0380; fits: ok"
"1a depth x region (MTL vs MFC), cnn models",rel_depth,0.009203345617198475,0.006213178677638204,1.481262022983848,0.1385367642528807,1332,20,RI subject + RS rel_depth,"RE sd(Group)=0.0240, sd(rel_depth)=0.0197, sd(resid)=0.0380; fits: ok"
"1a depth x region (MTL vs MFC), cnn models","rel_depth:C(region, Treatment('MFC'))[T.MTL]",0.025010043289989813,0.006310223949611015,3.9634161148165785,7.388483282504343e-05,1332,20,RI subject + RS rel_depth,"RE sd(Group)=0.0240, sd(rel_depth)=0.0197, sd(resid)=0.0380; fits: ok"
"1a depth x region (MTL vs MFC), cnn models",rel_depth slope within MTL,0.03421338890718829,0.006317166980958852,5.415938665277327,6.096799978688206e-08,1332,20,RI subject + RS rel_depth,"RE sd(Group)=0.0240, sd(rel_depth)=0.0197, sd(resid)=0.0380; fits: ok"
"1a depth x region (MTL vs MFC), transformer models",Intercept,0.00939723021745378,0.008085644776477476,1.1622116080082976,0.2451495206470875,555,20,RI subject,"RE sd(Group)=0.0316, sd(resid)=0.0386; fits: RI subject + RS rel_depth: Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with bfgs; Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with powell"
"1a depth x region (MTL vs MFC), transformer models","C(region, Treatment('MFC'))[T.MTL]",0.01777249026201398,0.0056864076764443616,3.1254337137373325,0.0017754307844342313,555,20,RI subject,"RE sd(Group)=0.0316, sd(resid)=0.0386; fits: RI subject + RS rel_depth: Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with bfgs; Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with powell"
"1a depth x region (MTL vs MFC), transformer models",rel_depth,0.006380494994242223,0.0073303738750479,0.8704187675830559,0.38407159407775726,555,20,RI subject,"RE sd(Group)=0.0316, sd(resid)=0.0386; fits: RI subject + RS rel_depth: Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with bfgs; Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with powell"
"1a depth x region (MTL vs MFC), transformer models","rel_depth:C(region, Treatment('MFC'))[T.MTL]",0.014507688119490993,0.010509710067032283,1.3804080252413333,0.16746105062258265,555,20,RI subject,"RE sd(Group)=0.0316, sd(resid)=0.0386; fits: RI subject + RS rel_depth: Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with bfgs; Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with powell"
"1a depth x region (MTL vs MFC), transformer models",rel_depth slope within MTL,0.020888183113733215,0.007531243227057208,2.773537181575685,0.0055450503384474725,555,20,RI subject,"RE sd(Group)=0.0316, sd(resid)=0.0386; fits: RI subject + RS rel_depth: Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with bfgs; Maximum Likelihood optimization failed to converge. Check ml; Retrying MixedLM optimization with powell"
1b depth x region (amygdala / hippocampus / MFC),Intercept,0.007735149797873948,0.005835669694047939,1.325494793813189,0.18500709504660606,2601,20,RI subject,"RE sd(Group)=0.0240, sd(resid)=0.0397; fits: RI subject + RS rel_depth: RE covariance singular / variance ~0"
1b depth x region (amygdala / hippocampus / MFC),"C(region, Treatment('MFC'))[T.amygdala]",0.007963101226628397,0.003340111979056276,2.3840821135818064,0.01712178146976458,2601,20,RI subject,"RE sd(Group)=0.0240, sd(resid)=0.0397; fits: RI subject + RS rel_depth: RE covariance singular / variance ~0"
1b depth x region (amygdala / hippocampus / MFC),"C(region, Treatment('MFC'))[T.hippocampus]",-0.0022735253951090186,0.003473070600677169,-0.6546153696575397,0.5127154259416385,2601,20,RI subject,"RE sd(Group)=0.0240, sd(resid)=0.0397; fits: RI subject + RS rel_depth: RE covariance singular / variance ~0"
1b depth x region (amygdala / hippocampus / MFC),rel_depth,0.007626557470579184,0.0038955831345815267,1.9577447604384004,0.0502599701750929,2601,20,RI subject,"RE sd(Group)=0.0240, sd(resid)=0.0397; fits: RI subject + RS rel_depth: RE covariance singular / variance ~0"
1b depth x region (amygdala / hippocampus / MFC),"rel_depth:C(region, Treatment('MFC'))[T.amygdala]",0.020835393222818,0.005668906142560371,3.675381581358773,0.00023749418147439,2601,20,RI subject,"RE sd(Group)=0.0240, sd(resid)=0.0397; fits: RI subject + RS rel_depth: RE covariance singular / variance ~0"
