test,term,estimate,se,z,p,n_obs,n_groups
similarity tuning ~ rel_depth (MTL concept; RI subject + cell),rel_depth,0.056129394387519474,0.003975402067223082,14.119174221471203,2.893621595784432e-45,6968,16
similarity tuning ~ rel_depth (MTL concept; RI subject + cell),Intercept,0.06380569435863633,0.028037776148667096,2.275704535920179,0.022863699696673803,6968,16
late-layer similarity tuning ~ group (RI subject + cell),Intercept,0.018299009430654857,0.014927840439209965,1.2258309904351647,0.22026228241472023,6285,19
late-layer similarity tuning ~ group (RI subject + cell),C(group)[T.MTL concept],0.09617760940169895,0.01685353366685376,5.706673229653536,1.1520565128730065e-08,6285,19
late-layer similarity tuning ~ group (RI subject + cell),C(group)[T.MFC concept],0.09216935174781603,0.02983517107483624,3.0892851767675658,0.0020063874820969887,6285,19
late-layer similarity tuning ~ group (RI subject + cell),Group Var,0.30309813576957156,0.1488751419277794,2.0359217250426336,0.041758215910490344,6285,19
late-layer similarity tuning ~ group (RI subject + cell),cell Var,2.945084824162606,0.2194843486480619,13.418199713570383,4.730659985939952e-41,6285,19
RSA ρ (CLIP ln_post) ~ region (RI subject),Intercept,0.016139278434885617,0.016590620633064292,0.9727953397186858,0.3306550293424002,37,20
RSA ρ (CLIP ln_post) ~ region (RI subject),"C(region, Treatment('MFC'))[T.MTL]",0.04401729579401297,0.023793419774030083,1.8499776918178334,0.0643167649302644,37,20
RSA ρ (CLIP ln_post) ~ region (RI subject),Group Var,4.0029925448915446e-08,0.24294721375907735,1.6476799560505265e-07,0.9999998685341602,37,20
